项目简称,期次,计划还款日期,计划还款租金合计,计划还款本金,计划还款利息
长兴众鑫,1,2020-10-22,3100000,2500000,600000
长兴众鑫,2,2021-01-22,3070000,2500000,570000
长兴众鑫,3,2021-04-22,3040000,2500000,540000
长兴众鑫,4,2021-07-22,3010000,2500000,510000
长兴众鑫,5,2021-10-22,2980000,2500000,480000
长兴众鑫,6,2022-01-22,2950000,2500000,450000
长兴众鑫,7,2022-04-22,2920000,2500000,420000
长兴众鑫,8,2022-07-22,2890000,2500000,390000
长兴众鑫,9,2022-10-22,2860000,2500000,360000
长兴众鑫,10,2023-01-22,2830000,2500000,330000
长兴众鑫,11,2023-04-22,2800000,2500000,300000
长兴众鑫,12,2023-07-22,2770000,2500000,270000
长兴众鑫,13,2023-10-22,2740000,2500000,240000
长兴众鑫,14,2024-01-22,2710000,2500000,210000
长兴众鑫,15,2024-04-22,2680000,2500000,180000
长兴众鑫,16,2024-07-22,2650000,2500000,150000
长兴众鑫,17,2024-10-22,2620000,2500000,120000
长兴众鑫,18,2025-01-22,2590000,2500000,90000
长兴众鑫,19,2025-04-22,2560000,2500000,60000
长兴众鑫,20,2025-07-22,2530000,2500000,30000
